# DSSD   BUSS   ENTRADA_DIGITAL   CANAL_FISICO   Slope_a       Intercept_b
       5       5                 0              0      6.17241711   -542.27253458
       5       5                 1              1      6.15200574   -508.42555602
       5       5                 2              2      6.21001128   -663.16049584
       5       5                 3              3      6.14382898   -410.68227782
       5       5                 4              4      6.15580562   -539.02890064
       5       5                 5              5      6.12448487   -499.78343183
       5       5                 6              6      6.21894511   -682.34171897
       5       5                 7              7      6.10909291   -426.84839379
       5       5                 8              8      6.11091669   -567.90501666
       5       5                 9              9      6.08091072   -474.03885907
       5       5                10             10      6.20544486   -648.24038202
       5       5                11             11      6.10627977   -420.16673248
       5       5                12             12      6.08016577   -535.24065129
       5       5                13             13      6.12882555   -466.27792749
       5       5                14             14      6.20992922   -619.48819099
       5       5                15             15      6.05993157   -351.91739986
       5       5                32             16      6.11599567   -592.09330617
       5       5                33             17      6.04270719   -508.44277734
       5       5                34             18      6.10752181   -721.11334384
       5       5                35             19      5.98590468   -581.40906348
       5       5                36             20      6.04642226   -585.60645871
       5       5                37             21      6.10976493   -560.19101172
       5       5                38             22      6.04519113   -730.10412978
       5       5                39             23      6.06419744   -574.40958894
       5       5                40             24      6.03906793   -561.59372847
       5       5                41             25      6.03273952   -596.35944086
       5       5                42             26      6.05117769   -737.12039597
       5       5                43             27      6.01354536   -573.87483078
       5       5                44             28      6.00436214   -538.39946623
       5       5                45             29      6.04237263   -514.82583441
       5       5                46             30      5.93846686   -695.58395759
       5       5                47             31      5.99779447   -539.73913433
