# DSSD   BUSS   ENTRADA_DIGITAL   CANAL_FISICO   Slope_a       Intercept_b
       5       5                 0              0      6.18843422   -550.93995386
       5       5                 1              1      6.17286558   -521.22232441
       5       5                 2              2      6.22610892   -672.45175327
       5       5                 3              3      6.15974297   -419.45518403
       5       5                 4              4      6.17322659   -549.36418989
       5       5                 5              5      6.14043286   -509.00692781
       5       5                 6              6      6.23627264   -692.74201643
       5       5                 7              7      6.12721627   -437.32772841
       5       5                 8              8      6.12970147   -579.66855342
       5       5                 9              9      6.09644616   -482.49988525
       5       5                10             10      6.22212027   -658.01376563
       5       5                11             11      6.12346792   -430.10977708
       5       5                12             12      6.09582657   -544.32190066
       5       5                13             13      6.14639865   -476.63885100
       5       5                14             14      6.22594815   -628.69378387
       5       5                15             15      6.07482185   -359.79456960
       5       5                32             16      6.13230303   -601.75883304
       5       5                33             17      6.06026557   -519.09663326
       5       5                34             18      6.12419719   -731.34024354
       5       5                35             19      6.00164147   -590.66922205
       5       5                36             20      6.06296338   -595.68557139
       5       5                37             21      6.12727672   -570.81600614
       5       5                38             22      6.05965068   -738.39069703
       5       5                39             23      6.07855554   -582.41345192
       5       5                40             24      6.05508733   -570.87495030
       5       5                41             25      6.04903508   -606.37722597
       5       5                42             26      6.06844122   -748.14082017
       5       5                43             27      6.02910309   -582.71820672
       5       5                44             28      6.02175684   -549.31736083
       5       5                45             29      6.06042005   -525.45875527
       5       5                46             30      5.95606629   -706.91029947
       5       5                47             31      6.01311092   -548.51257611
