# DSSD   TIPO   ENTRADA_DIGITAL   CANAL_FISICO
    5   p   0   14
    5   p   1   15
    5   p   2   12
    5   p   3   13
    5   p   4   10
    5   p   5   11
    5   p   6   8
    5   p   7   9
    5   p   8   6
    5   p   9   7
    5   p   10   4
    5   p   11   5
    5   p   12   2
    5   p   13   3
    5   p   14   0
    5   p   15   1
    5   n   32   22
    5   n   33   23
    5   n   34   20
    5   n   35   21
    5   n   36   18
    5   n   37   19
    5   n   38   16
    5   n   39   17
    5   n   40   25
    5   n   41   24
    5   n   42   27
    5   n   43   26
    5   n   44   29
    5   n   45   28
    5   n   46   31
    5   n   47   30
