# DSSD   Canal   NOISE_CUT_DIG   NOISE_CUT_FIS
    5   1   100   110
    5   2   100   100
    5   3   110   100
    5   4   100   100
    5   5   100   110
    5   6   100   100
    5   7   110   100
    5   8   100   100
    5   9   100   110
    5   10   100   100
    5   11   110   100
    5   12   100   100
    5   13   100   100
    5   14   100   100
    5   15   110   100
    5   16   100   100
    5   17   100   100
    5   18   100   100
    5   19   100   100
    5   20   100   100
    5   21   100   100
    5   22   100   100
    5   23   100   100
    5   24   100   100
    5   25   100   100
    5   26   100   100   
    5   27   100   100
    5   28   100   100   
    5   29   100   100   
    5   30   100   100   
    5   31   100   100   
    5   32   100   100    
